Name,Qty,Distirbutor,TotalCost,Purpose
100nF THT 2.5mm capacitor,5,LCSC,0.79,Used to smoothen input analog signals and decoupling for buttons
22uF THT 5mm capacitor,2,LCSC,2.67,Very much voltage converter and button
10uF THT 5mm capacitor,1,LCSC,1.37,Very much voltage converter
1uF THT 5mm capacitor,5,LCSC,1.09,Enable button
Screw Terminal Connector 1x2,6,Shopee,1.84,Connectors for digital and analog inputs
Screw Terminal Connector 1x3,4,Shopee,0.86,Connectors for relay outputs
USB C connector,5,Shopee,0.4,Power input and data upload for ESP32
5V Relay,4,LCSC,5.34,Switch outputs
470R Resistor THT,4,LCSC,0.66,Current limiting resistors on digital inputs
10k Resistor THT,6,LCSC,3.5,Prevents noise signals on inputs and voltage divider on analog inputs
20k Resistor THT,10,LCSC,0.33,Voltage divider on analog inputs
10k Resistor SMD,100,LCSC,0.23,Boot button
100R Resistor SMD,100,LCSC,0.21,Boot button
5.1k Resistor SMD,20,LCSC,0.79,Voltage in
THT Push button switch 6x3.5mm,2,Shopee,1.65,EN and BOOT buttons
5mm button,10,Shopee,0.77,UP OK and DN buttons
ESP32-S3-WROOM-1-N8,1,LCSC,4.79,Brains for this dumb PLC
Optocoupler,4,Shopee,0.49,Input isolation
AMS1117-3.3,10,LCSC,0.4,3.3V regulator
PCB,5,JLCPCB,2,circuit board to hold all the components on
